wavelength [nm], relative absorbance
514.62646, 0.90142256
514.64146, 0.90149003
514.65647, 0.90155207
514.67147, 0.90160821
514.68647, 0.90165802
514.70147, 0.90170106
514.71647, 0.90173693
514.73147, 0.90176525
514.74647, 0.90178565
514.76148, 0.90179779
514.77648, 0.90180136
514.79148, 0.90179606
514.80648, 0.90178163
514.82148, 0.90175783
514.83648, 0.90172445
514.85149, 0.90168133
514.86649, 0.90162829
514.88149, 0.90156524
514.89649, 0.90149208
514.91149, 0.90140877
514.92649, 0.90131526
514.94149, 0.90121159
514.95650, 0.90109779
514.97150, 0.90097393
514.98650, 0.90084013
515.00150, 0.90069653
515.01650, 0.90054330
515.03150, 0.90038065
515.04650, 0.90020881
515.06151, 0.90002806
515.07651, 0.89983870
515.09151, 0.89964105
515.10651, 0.89943548
515.12151, 0.89922236
515.13651, 0.89900213
515.15152, 0.89877521
515.16652, 0.89854207
515.18152, 0.89830321
515.19652, 0.89805912
515.21152, 0.89781035
515.22652, 0.89755745
515.24152, 0.89730099
515.25653, 0.89704155
515.27153, 0.89677974
515.28653, 0.89651616
515.30153, 0.89625145
515.31653, 0.89598624
515.33153, 0.89572117
515.34653, 0.89545690
515.36154, 0.89519407
515.37654, 0.89493335
515.39154, 0.89467537
515.40654, 0.89442081
515.42154, 0.89417031
515.43654, 0.89392451
515.45155, 0.89368404
515.46655, 0.89344955
515.48155, 0.89322164
515.49655, 0.89300092
515.51155, 0.89278798
515.52655, 0.89258338
515.54155, 0.89238769
515.55656, 0.89220143
515.57156, 0.89202512
515.58656, 0.89185924
515.60156, 0.89170426
515.61656, 0.89156061
515.63156, 0.89142871
515.64656, 0.89130894
515.66157, 0.89120165
515.67657, 0.89110715
515.69157, 0.89102573
515.70657, 0.89095765
515.72157, 0.89090312
515.73657, 0.89086234
515.75158, 0.89083544
515.76658, 0.89082255
515.78158, 0.89082373
515.79658, 0.89083903
515.81158, 0.89086845
515.82658, 0.89091195
515.84158, 0.89096946
515.85659, 0.89104086
515.87159, 0.89112601
515.88659, 0.89122473
515.90159, 0.89133678
515.91659, 0.89146191
515.93159, 0.89159983
515.94659, 0.89175020
515.96160, 0.89191266
515.97660, 0.89208682
515.99160, 0.89227224
516.00660, 0.89246847
516.02160, 0.89267500
516.03660, 0.89289132
516.05161, 0.89311689
516.06661, 0.89335112
516.08161, 0.89359342
516.09661, 0.89384316
516.11161, 0.89409970
516.12661, 0.89436237
516.14161, 0.89463049
516.15662, 0.89490336
516.17162, 0.89518026
516.18662, 0.89546047
516.20162, 0.89574324
516.21662, 0.89602784
516.23162, 0.89631349
