wavelength [nm], relative absorbance
513.83138, 0.54190120
513.84638, 0.54183823
513.86139, 0.54177028
513.87639, 0.54169743
513.89139, 0.54161976
513.90639, 0.54153738
513.92139, 0.54145043
513.93639, 0.54135904
513.95140, 0.54126337
513.96640, 0.54116361
513.98140, 0.54105995
513.99640, 0.54095261
514.01140, 0.54084180
514.02640, 0.54072777
514.04140, 0.54061076
514.05641, 0.54049104
514.07141, 0.54036888
514.08641, 0.54024454
514.10141, 0.54011832
514.11641, 0.53999051
514.13141, 0.53986140
514.14641, 0.53973129
514.16142, 0.53960048
514.17642, 0.53946926
514.19142, 0.53933792
514.20642, 0.53920678
514.22142, 0.53907611
514.23642, 0.53894620
514.25143, 0.53881733
514.26643, 0.53868977
514.28143, 0.53856378
514.29643, 0.53843961
514.31143, 0.53831750
514.32643, 0.53819769
514.34143, 0.53808038
514.35644, 0.53796578
514.37144, 0.53785406
514.38644, 0.53774542
514.40144, 0.53763998
514.41644, 0.53753791
514.43144, 0.53743930
514.44644, 0.53734427
514.46145, 0.53725290
514.47645, 0.53716525
514.49145, 0.53708137
514.50645, 0.53700130
514.52145, 0.53692503
514.53645, 0.53685256
514.55146, 0.53678387
514.56646, 0.53671891
514.58146, 0.53665761
514.59646, 0.53659991
514.61146, 0.53654569
514.62646, 0.53649486
514.64146, 0.53644728
514.65647, 0.53640282
514.67147, 0.53636132
514.68647, 0.53632261
514.70147, 0.53628651
514.71647, 0.53625284
514.73147, 0.53622139
514.74647, 0.53619196
514.76148, 0.53616433
514.77648, 0.53613829
514.79148, 0.53611359
514.80648, 0.53609002
514.82148, 0.53606734
514.83648, 0.53604532
514.85149, 0.53602371
514.86649, 0.53600229
514.88149, 0.53598082
514.89649, 0.53595908
514.91149, 0.53593684
514.92649, 0.53591388
514.94149, 0.53588998
514.95650, 0.53586495
514.97150, 0.53583858
514.98650, 0.53581069
515.00150, 0.53578110
515.01650, 0.53574964
515.03150, 0.53571617
515.04650, 0.53568054
515.06151, 0.53564262
515.07651, 0.53560230
515.09151, 0.53555948
515.10651, 0.53551406
515.12151, 0.53546599
515.13651, 0.53541521
515.15152, 0.53536167
515.16652, 0.53530534
515.18152, 0.53524623
515.19652, 0.53518433
515.21152, 0.53511966
515.22652, 0.53505226
515.24152, 0.53498218
515.25653, 0.53490947
515.27153, 0.53483422
515.28653, 0.53475652
515.30153, 0.53467646
515.31653, 0.53459415
515.33153, 0.53450972
515.34653, 0.53442331
515.36154, 0.53433505
515.37654, 0.53424509
515.39154, 0.53415360
515.40654, 0.53406072
515.42154, 0.53396664
515.43654, 0.53387152
515.45155, 0.53377553
515.46655, 0.53367887
515.48155, 0.53358169
515.49655, 0.53348419
515.51155, 0.53338653
515.52655, 0.53328889
515.54155, 0.53319145
515.55656, 0.53309436
515.57156, 0.53299779
515.58656, 0.53290188
515.60156, 0.53280680
515.61656, 0.53271267
515.63156, 0.53261962
515.64656, 0.53252777
515.66157, 0.53243724
515.67657, 0.53234812
515.69157, 0.53226049
515.70657, 0.53217442
515.72157, 0.53208998
515.73657, 0.53200722
515.75158, 0.53192616
515.76658, 0.53184682
515.78158, 0.53176921
515.79658, 0.53169332
515.81158, 0.53161913
515.82658, 0.53154660
515.84158, 0.53147568
515.85659, 0.53140630
515.87159, 0.53133839
515.88659, 0.53127186
515.90159, 0.53120660
515.91659, 0.53114250
515.93159, 0.53107943
515.94659, 0.53101725
515.96160, 0.53095583
515.97660, 0.53089501
515.99160, 0.53083462
516.00660, 0.53077449
516.02160, 0.53071446
516.03660, 0.53065433
516.05161, 0.53059393
516.06661, 0.53053306
516.08161, 0.53047154
516.09661, 0.53040917
516.11161, 0.53034578
516.12661, 0.53028116
516.14161, 0.53021515
516.15662, 0.53014754
516.17162, 0.53007818
516.18662, 0.53000689
516.20162, 0.52993350
516.21662, 0.52985787
516.23162, 0.52977986
516.24662, 0.52969931
516.26163, 0.52961613
516.27663, 0.52953019
516.29163, 0.52944140
516.30663, 0.52934967
516.32163, 0.52925495
516.33663, 0.52915717
516.35164, 0.52905629
516.36664, 0.52895231
516.38164, 0.52884521
516.39664, 0.52873500
516.41164, 0.52862173
516.42664, 0.52850543
516.44164, 0.52838617
516.45665, 0.52826403
516.47165, 0.52813912
516.48665, 0.52801155
516.50165, 0.52788146
516.51665, 0.52774899
516.53165, 0.52761431
516.54665, 0.52747761
516.56166, 0.52733908
516.57666, 0.52719893
516.59166, 0.52705738
516.60666, 0.52691468
516.62166, 0.52677105
516.63666, 0.52662677
516.65167, 0.52648210
516.66667, 0.52633730
516.68167, 0.52619267
516.69667, 0.52604848
516.71167, 0.52590503
516.72667, 0.52576260
516.74167, 0.52562148
516.75668, 0.52548198
516.77168, 0.52534438
516.78668, 0.52520896
516.80168, 0.52507601
516.81668, 0.52494581
516.83168, 0.52481862
516.84668, 0.52469471
516.86169, 0.52457432
516.87669, 0.52445769
516.89169, 0.52434504
516.90669, 0.52423660
516.92169, 0.52413254
516.93669, 0.52403304
516.95170, 0.52393828
516.96670, 0.52384838
516.98170, 0.52376346
516.99670, 0.52368363
517.01170, 0.52360897
517.02670, 0.52353952
517.04170, 0.52347533
517.05671, 0.52341639
517.07171, 0.52336270
517.08671, 0.52331421
517.10171, 0.52327086
517.11671, 0.52323255
517.13171, 0.52319918
517.14671, 0.52317061
517.16172, 0.52314667
517.17672, 0.52312718
517.19172, 0.52311193
517.20672, 0.52310067
517.22172, 0.52309317
517.23672, 0.52308913
517.25173, 0.52308826
517.26673, 0.52309025
517.28173, 0.52309475
517.29673, 0.52310142
517.31173, 0.52310989
517.32673, 0.52311976
517.34173, 0.52313064
517.35674, 0.52314213
517.37174, 0.52315380
